,year,month,night_safari,river_wonders,singapore_zoo,wet_bulb_temperature,no_of_rainy_days,mean_rh,total_rainfall,mean_sunshine_hrs,mean_temp
91,2015,2015-01-01,94.7,50.5,129.7,23.8377688172043,6.0,77.6,79.6,7.4,26.9
92,2014,2014-12-01,97.1,91.0,164.5,24.71545698924731,17.0,82.6,245.6,3.7,27.0
93,2014,2014-11-01,69.9,85.6,125.4,25.094722222222224,23.0,82.4,250.8,5.4,27.5
94,2014,2014-10-01,96.6,84.7,129.9,25.170295698924733,10.0,77.0,120.0,6.0,28.4
95,2014,2014-09-01,77.6,68.3,118.3,25.079583333333332,9.0,75.6,83.6,7.0,28.5
96,2014,2014-08-01,136.8,94.4,169.4,24.933198924731183,20.0,79.7,241.0,4.5,27.7
97,2014,2014-07-01,122.6,93.3,155.7,25.704704301075267,15.0,78.3,148.6,5.5,28.7
98,2014,2014-06-01,98.7,118.0,141.7,25.880972222222223,11.0,77.5,71.4,6.0,29.0
99,2014,2014-05-01,101.8,94.9,138.5,25.811424731182797,18.0,80.2,125.8,5.8,28.6
100,2014,2014-04-01,87.5,86.1,132.9,25.461805555555557,17.0,80.0,110.0,5.7,28.2
101,2014,2014-03-01,89.2,123.0,131.5,24.54462365591398,6.0,76.0,66.0,8.0,27.9
102,2014,2014-02-01,96.4,102.2,134.7,23.708333333333332,1.0,74.5,0.2,8.8,27.2
103,2014,2014-01-01,105.7,103.0,135.7,23.391129032258064,5.0,78.5,75.4,5.3,26.2
104,2013,2013-12-01,110.0,168.7,183.9,24.609139784946237,21.0,85.8,348.2,3.5,26.5
105,2013,2013-11-01,78.0,77.6,127.4,25.066666666666666,22.0,84.6,292.4,4.5,27.1
106,2013,2013-10-01,94.5,63.3,132.2,24.95766129032258,19.0,79.9,285.4,6.3,27.7
107,2013,2013-09-01,77.9,65.8,127.4,25.012916666666666,19.0,81.3,257.0,4.6,27.5
108,2013,2013-08-01,136.7,86.7,182.9,25.04422043010753,15.0,79.0,165.6,6.1,27.9
109,2013,2013-07-01,116.9,62.2,175.4,25.04193548387097,15.0,79.9,174.6,5.7,27.8
110,2013,2013-06-01,96.8,78.7,143.2,25.30388888888889,12.0,74.6,111.4,6.4,29.0
111,2013,2013-05-01,96.6,58.3,135.4,25.848387096774193,17.0,83.1,211.4,5.4,28.2
112,2013,2013-04-01,81.8,42.0,127.3,25.81625,19.0,82.7,159.4,5.2,28.2
